2.16065,678,1356,85457,139330,26856,26535,34.57,490,0,800,0
1.71264,549,1098,71316,116608,26255,26055,33.8188,438,5,800,0
1.88149,586,1173,78028,127670,26968,26731,34.71,466,10,800,0
1.99686,620,1240,81437,133397,27381,27116,35.2263,462,15,800,0
2.13563,671,1342,84526,138620,26991,26708,34.7388,478,20,800,0
2.65892,758,1516,91068,149292,25111,24751,32.3888,507,25,800,0
2.37863,719,1438,79264,129843,23962,23564,30.9525,528,30,800,0
2.42776,744,1488,81034,132643,22776,22396,29.47,543,35,800,0
2.40168,737,1475,76541,125198,21877,21464,28.3463,533,40,800,0
2.53564,737,1474,78240,127930,22052,21640,28.565,490,45,800,0
2.33841,708,1416,77029,125832,22486,22112,29.1075,488,50,800,0
2.65747,769,1539,81930,133515,22797,22399,29.4962,496,55,800,0
2.62552,767,1534,83686,136600,23140,22751,29.925,532,60,800,0
2.22607,693,1386,74015,120713,23439,23075,30.2987,521,65,800,0
2.43318,709,1419,81063,132274,23648,23275,30.56,490,70,800,0
2.16333,665,1330,72972,119029,22988,22640,29.735,497,75,800,0
2.31624,715,1430,80596,131730,23628,23247,30.535,503,80,800,0
2.40614,708,1416,81252,132635,23569,23177,30.4612,485,85,800,0
2.48483,728,1456,83117,135863,23774,23386,30.7175,462,90,800,0
2.32794,683,1366,79044,129265,23722,23359,30.6525,478,95,800,0
2.1214,662,1325,73640,120309,23663,23303,30.5787,485,100,800,0
2.23539,683,1367,74671,122046,23736,23383,30.67,484,105,800,0
2.36493,713,1427,75834,123835,23370,22994,30.2125,497,110,800,0
2.21127,673,1346,70611,115306,22554,22210,29.1925,506,115,800,0
2.25008,695,1390,71853,117318,22623,22254,29.2787,467,120,800,0
2.46201,744,1489,79950,130553,22911,22487,29.6388,503,125,800,0
2.30609,692,1385,78131,127532,23357,22991,30.1962,521,130,800,0
2.38757,706,1413,80121,130889,23697,23334,30.6212,543,135,800,0
2.29299,695,1391,75267,122907,23188,22809,29.985,499,140,800,0
2.0448,620,1240,69186,113070,23371,23085,30.2138,481,145,800,0
2.00506,618,1236,69597,113851,23468,23189,30.335,476,150,800,0
2.15046,672,1344,74417,121735,23415,23135,30.2688,486,155,800,0
2.14182,668,1336,72767,119003,23163,22864,29.9537,499,160,800,0
2.18549,685,1370,72681,118873,22711,22368,29.3888,511,165,800,0
2.21632,679,1358,71997,117592,22766,22421,29.4575,495,170,800,0
2.26382,690,1381,75452,123211,23556,23196,30.445,477,175,800,0
2.13042,663,1326,72067,117566,23609,23273,30.5113,507,180,800,0
